,account_id,active,advertiser_domain_list_ids,advertiser_domain_white_list,app_bundle_list_ids,app_bundle_white_list,app_name_list_ids,app_name_white_list,blocking_unknown_advertiser_domains,coppa_param_required,coppa_values,country_codes,country_list_ids,country_source,country_white_list,created_at,dma_codes,dma_list_ids,dma_source,dma_white_list,dnt_param_required,dnt_values,domain_list_ids,domain_white_list,environment,format,gdpr_consent_param_required,gdpr_consent_string_values,gdpr_supply_param_required,gdpr_supply_values,id,ip_list_ids,ip_white_list,key_ids,lmt_param_required,lmt_values,max_aspect_ratio,min_aspect_ratio,name,note,player_sizes,post_imp_detection_enabled,post_imp_percentage_forensiq,post_imp_percentage_ias,post_imp_percentage_moat,post_imp_percentage_protected,post_imp_percentage_whiteops,pre_bid_blocking_components,pre_bid_blocking_enabled,segment_groups,segment_targeting_enabled,supply_partner_id,supply_router_ratios,tag_pixels,targeted_iab_category_codes,targeted_iab_category_white_list,targeted_iab_tier2_category_codes,targeted_iab_tier2_category_white_list,third_party_override,updated_at,us_privacy_param_required,us_privacy_supply_white_list,us_privacy_values,user_agent_brands,user_agent_browsers,user_agent_devices,user_agent_operating_systems
2503,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-19T14:44:10.369Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17648,[],,[1749 2233],False,[],,,NewsNet-FreeTV,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,62396,"[{'fallback_supply_tag_id': None, 'ratio': 45, 'supply_tag_id': 688025}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688024}
 {'fallback_supply_tag_id': None, 'ratio': 5, 'supply_tag_id': 691422}]",[],[],,[],,True,2023-01-30 06:04:45.716,False,,[],[],[],[],[]
2504,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-19T14:54:10.520Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17650,[],,[1749 2233],False,[],,,Sportsnewshignlights-FreeTV,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,62396,"[{'fallback_supply_tag_id': None, 'ratio': 45, 'supply_tag_id': 688033}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688032}
 {'fallback_supply_tag_id': None, 'ratio': 5, 'supply_tag_id': 691423}]",[],[],,[],,True,2023-01-30 06:30:32.968,False,,[],[],[],[],[]
2505,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-19T15:06:27.550Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17651,[],,[2233 1749],False,[],,,TheDailyWire-FreeTV,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,60382,"[{'fallback_supply_tag_id': None, 'ratio': 45, 'supply_tag_id': 688040}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688039}
 {'fallback_supply_tag_id': None, 'ratio': 5, 'supply_tag_id': 691427}]",[],[],,[],,True,2023-01-30 06:39:09.069,False,,[],[],[],[],[]
2506,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T05:15:00.852Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17660,[],,[1749 2233],False,[],,,netgem_check-Samsung CA,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64745,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688074}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688075}]",[],[],,[],,True,2022-12-20 05:15:00.852,False,,[],[],[],[],[]
2507,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T05:15:05.428Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17661,[],,[2233 1749],False,[],,,netgem_check-Samsung CA,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64745,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688076}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688077}]",[],[],,[],,True,2022-12-20 05:15:05.428,False,,[],[],[],[],[]
2508,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T09:26:48.089Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17684,[],,[2233 1749],False,[],,,netgem_check-Samsung BR,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64745,"[{'fallback_supply_tag_id': None, 'ratio': 25, 'supply_tag_id': 688123}
 {'fallback_supply_tag_id': None, 'ratio': 75, 'supply_tag_id': 688124}]",[],[],,[],,True,2022-12-20 09:26:48.089,False,,[],[],[],[],[]
2509,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T10:21:30.964Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17686,[],,[2233 1749],False,[],,,netgem_inventory-Samsung BR,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64745,"[{'fallback_supply_tag_id': None, 'ratio': 20, 'supply_tag_id': 688132}
 {'fallback_supply_tag_id': None, 'ratio': 80, 'supply_tag_id': 688133}]",[],[],,[],,True,2022-12-20 10:21:30.964,False,,[],[],[],[],[]
2510,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T12:06:15.621Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17687,[],,[1749 2233],False,[],,,Lifestyle-LG ES,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,54215,"[{'fallback_supply_tag_id': None, 'ratio': 52, 'supply_tag_id': 688143}
 {'fallback_supply_tag_id': None, 'ratio': 40, 'supply_tag_id': 688144}
 {'fallback_supply_tag_id': None, 'ratio': 8, 'supply_tag_id': 688336}]",[],[],,[],,True,2022-12-22 06:11:20.640,False,,[],[],[],[],[]
2511,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T12:10:41.293Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17689,[],,[1749 2233],False,[],,,Lifestyle-LG MX,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,54215,"[{'fallback_supply_tag_id': None, 'ratio': 52, 'supply_tag_id': 688145}
 {'fallback_supply_tag_id': None, 'ratio': 40, 'supply_tag_id': 688146}
 {'fallback_supply_tag_id': None, 'ratio': 8, 'supply_tag_id': 688337}]",[],[],,[],,True,2022-12-22 06:27:34.753,False,,[],[],[],[],[]
2512,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T13:09:22.904Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17690,[],,[1749 2233],False,[],,,netgem-LG KR,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64745,"[{'fallback_supply_tag_id': None, 'ratio': 5, 'supply_tag_id': 688148}
 {'fallback_supply_tag_id': None, 'ratio': 95, 'supply_tag_id': 688149}]",[],[],,[],,True,2022-12-20 13:09:22.904,False,,[],[],[],[],[]
